,faculty_name,publications,adjusted,university_name,faculty_home_page,dblp,faculty_areaname
0,Graham Neubig,135.0,35.1,Carnegie Mellon University,http://www.phontron.com,https://dblp.org/pers/hd/n/Neubig:Graham,nlp
1,Abhinav Gupta,111.0,32.3,Carnegie Mellon University,http://www.cs.cmu.edu/~abhinavg,https://dblp.org/pers/hd/g/Gupta_0001:Abhinav,vision
2,David P Woodruff,99.0,33.7,Carnegie Mellon University,http://www.cs.cmu.edu/~dwoodruf,https://dblp.org/pers/hd/w/Woodruff:David_P%3D,ml
2,David P Woodruff,99.0,33.7,Carnegie Mellon University,http://www.cs.cmu.edu/~dwoodruf,https://dblp.org/pers/hd/w/Woodruff:David_P%3D,theory
3,Howie Choset,83.0,19.5,Carnegie Mellon University,http://www.cs.cmu.edu/~./choset,https://dblp.org/pers/hd/c/Choset:Howie,robotics
4,Tuomas Sandholm,80.0,29.8,Carnegie Mellon University,http://www.cs.cmu.edu/~sandholm,https://dblp.org/pers/hd/s/Sandholm:Tuomas,ai
4,Tuomas Sandholm,80.0,29.8,Carnegie Mellon University,http://www.cs.cmu.edu/~sandholm,https://dblp.org/pers/hd/s/Sandholm:Tuomas,ml
5,Pradeep Ravikumar,79.0,20.8,Carnegie Mellon University,http://www.cs.cmu.edu/~pradeepr,https://dblp.org/pers/hd/r/Ravikumar:Pradeep,ml
6,Martial Hebert,78.0,22.0,Carnegie Mellon University,http://www.cs.cmu.edu/~./hebert,https://dblp.org/pers/hd/h/Hebert:Martial,vision
7,Deva Ramanan,77.0,24.4,Carnegie Mellon University,http://www.cs.cmu.edu/~deva,https://dblp.org/pers/hd/r/Ramanan:Deva,vision
8,J Zico Kolter,69.0,21.5,Carnegie Mellon University,http://www.zicokolter.com,https://dblp.org/pers/hd/k/Kolter:J%3D_Zico,ml
9,Maxim Likhachev,66.0,19.8,Carnegie Mellon University,https://www.ri.cmu.edu/ri-faculty/maxim-likhachev,https://dblp.org/pers/hd/l/Likhachev:Maxim,robotics
10,Elaine Shi,61.0,15.9,Carnegie Mellon University,http://elaineshi.com,https://dblp.org/pers/hd/s/Shi:Elaine,security
11,Chris Harrison,58.0,16.3,Carnegie Mellon University,http://www.chrisharrison.net,https://dblp.org/pers/hd/h/Harrison_0001:Chris,hci
12,Vincent Conitzer,55.0,21.6,Carnegie Mellon University,https://users.cs.duke.edu/~conitzer,https://dblp.org/pers/hd/c/Conitzer:Vincent,ai
13,LouisPhilippe Morency,53.0,11.5,Carnegie Mellon University,https://www.cs.cmu.edu/~morency,https://dblp.org/pers/hd/m/Morency:Louis%3DPhilippe,nlp
14,Vyas Sekar,53.0,10.2,Carnegie Mellon University,https://users.ece.cmu.edu/~vsekar,https://dblp.org/pers/hd/s/Sekar:Vyas,networks
15,Zhiwei Steven Wu,52.0,12.8,Carnegie Mellon University,https://zstevenwu.com,https://dblp.org/pers/hd/w/Wu:Zhiwei_Steven,ml
16,Scott E Hudson,48.0,11.9,Carnegie Mellon University,http://www.cs.cmu.edu/~hudson,https://dblp.org/pers/hd/h/Hudson:Scott_E%3D,hci
17,J Andrew Bagnell,47.0,12.3,Carnegie Mellon University,http://www.ri.cmu.edu/person.html?person_id=689,https://dblp.org/pers/hd/b/Bagnell:J%3D_Andrew,robotics
18,Tom M Mitchell,46.0,14.0,Carnegie Mellon University,http://www.cs.cmu.edu/~tom,https://dblp.org/pers/hd/m/Mitchell:Tom_M%3D,nlp
19,Vipul Goyal,45.0,15.1,Carnegie Mellon University,https://www.cs.cmu.edu/~goyal,https://dblp.org/pers/hd/g/Goyal:Vipul,crypto
20,Yuanzhi Li,44.0,15.5,Carnegie Mellon University,https://web.stanford.edu/~yuanzhil,https://dblp.org/pers/hd/l/Li:Yuanzhi,ml
21,JunYan Zhu,43.0,8.8,Carnegie Mellon University,https://people.csail.mit.edu/junyanz,https://dblp.org/pers/hd/z/Zhu:Jun%3DYan,vision
22,Venkatesan Guruswami,42.0,16.8,Carnegie Mellon University,http://www.cs.cmu.edu/~venkatg,https://dblp.org/pers/hd/g/Guruswami:Venkatesan,theory
23,MariaFlorina Balcan,41.0,12.4,Carnegie Mellon University,https://www.cs.cmu.edu/~ninamf,https://dblp.org/pers/hd/b/Balcan:Maria%3DFlorina,ml
24,Yiming Yang,41.0,10.9,Carnegie Mellon University,http://www.cs.cmu.edu/~./yiming,https://dblp.org/pers/hd/y/Yang:Yiming,ml
24,Yiming Yang,41.0,10.9,Carnegie Mellon University,http://www.cs.cmu.edu/~./yiming,https://dblp.org/pers/hd/y/Yang:Yiming,nlp
25,Anupam Gupta,40.0,12.1,Carnegie Mellon University,http://www.cs.cmu.edu/~anupamg,https://dblp.org/pers/hd/g/Gupta_0001:Anupam,theory
26,Fei Fang,37.0,8.1,Carnegie Mellon University,https://www.andrew.cmu.edu/user/feif,https://dblp.org/pers/hd/f/Fang:Fei,ai
27,Srinivasa G Narasimhan,37.0,9.6,Carnegie Mellon University,http://www.cs.cmu.edu/~srinivas,https://dblp.org/pers/hd/n/Narasimhan:Srinivasa_G%3D,vision
28,Lorrie Faith Cranor,35.0,5.8,Carnegie Mellon University,http://lorrie.cranor.org,https://dblp.org/pers/hd/c/Cranor:Lorrie_Faith,hci
28,Lorrie Faith Cranor,35.0,5.8,Carnegie Mellon University,http://lorrie.cranor.org,https://dblp.org/pers/hd/c/Cranor:Lorrie_Faith,security
29,Andrew Pavlo,34.0,7.0,Carnegie Mellon University,http://www.cs.cmu.edu/~pavlo,https://dblp.org/pers/hd/p/Pavlo:Andrew,db
30,Nicolas Christin,32.0,7.2,Carnegie Mellon University,http://www.andrew.cmu.edu/user/nicolasc,https://dblp.org/pers/hd/c/Christin:Nicolas,security
31,Yonatan Bisk,31.0,7.7,Carnegie Mellon University,https://yonatanbisk.com,https://dblp.org/pers/hd/b/Bisk:Yonatan,nlp
32,Mayank Goel,31.0,6.8,Carnegie Mellon University,https://www.hcii.cmu.edu/people/mayank-goel,https://dblp.org/pers/hd/g/Goel:Mayank,hci
33,Bernhard Haeupler,31.0,12.6,Carnegie Mellon University,http://www.cs.cmu.edu/~haeupler,https://dblp.org/pers/hd/h/Haeupler:Bernhard,theory
34,Jessica K Hodgins,31.0,7.6,Carnegie Mellon University,http://www.cs.cmu.edu/~jkh,https://dblp.org/pers/hd/h/Hodgins:Jessica_K%3D,graphics
35,Swarun Kumar,31.0,7.4,Carnegie Mellon University,https://swarunkumar.com,https://dblp.org/pers/hd/k/Kumar:Swarun,mobile
35,Swarun Kumar,31.0,7.4,Carnegie Mellon University,https://swarunkumar.com,https://dblp.org/pers/hd/k/Kumar:Swarun,networks
36,Deepak Pathak,31.0,8.2,Carnegie Mellon University,https://people.eecs.berkeley.edu/~pathak,https://dblp.org/pers/hd/p/Pathak:Deepak,ml
37,Shubham Tulsiani,31.0,8.3,Carnegie Mellon University,https://shubhtuls.github.io,https://dblp.org/pers/hd/t/Tulsiani:Shubham,vision
38,Alan W Black,29.0,7.6,Carnegie Mellon University,https://www.cs.cmu.edu/~awb,https://dblp.org/pers/hd/b/Black:Alan_W%3D,nlp
39,Geoffrey J Gordon,29.0,8.1,Carnegie Mellon University,http://www.cs.cmu.edu/~ggordon,https://dblp.org/pers/hd/g/Gordon:Geoffrey_J%3D,ml
40,Jason I Hong,29.0,6.7,Carnegie Mellon University,http://www.cs.cmu.edu/~jasonh,https://dblp.org/pers/hd/h/Hong:Jason_I%3D,hci
41,Christian Kstner,29.0,6.6,Carnegie Mellon University,https://www.cs.cmu.edu/~ckaestne,https://dblp.org/pers/hd/k/K=auml=stner:Christian,se
42,David Held,27.0,6.9,Carnegie Mellon University,http://davheld.github.io,https://dblp.org/pers/hd/h/Held:David,robotics
43,Aniket Kittur,27.0,6.9,Carnegie Mellon University,https://www.hcii.cmu.edu/people/aniket-kittur,https://dblp.org/pers/hd/k/Kittur:Aniket,hci
44,Pravesh Kothari,27.0,8.1,Carnegie Mellon University,https://www.cs.cmu.edu/~praveshk,https://dblp.org/pers/hd/k/Kothari:Pravesh,theory
45,Benjamin Moseley,27.0,8.0,Carnegie Mellon University,http://www.andrew.cmu.edu/user/moseleyb,https://dblp.org/pers/hd/m/Moseley:Benjamin,theory
45,Benjamin Moseley,27.0,8.0,Carnegie Mellon University,http://www.andrew.cmu.edu/user/moseleyb,https://dblp.org/pers/hd/m/Moseley:Benjamin,ml
46,Brad A Myers,27.0,7.3,Carnegie Mellon University,http://www.cs.cmu.edu/~bam,https://dblp.org/pers/hd/m/Myers:Brad_A%3D,hci
47,Lining Yao,27.0,4.4,Carnegie Mellon University,http://morphingmatter.cs.cmu.edu,https://dblp.org/pers/hd/y/Yao:Lining,hci
48,Aarti Singh,26.0,7.5,Carnegie Mellon University,http://www.cs.cmu.edu/~aarti,https://dblp.org/pers/hd/s/Singh:Aarti,ml
49,David G Andersen,24.0,5.3,Carnegie Mellon University,https://www.cs.cmu.edu/~dga,https://dblp.org/pers/hd/a/Andersen:David_G%3D,networks
49,David G Andersen,24.0,5.3,Carnegie Mellon University,https://www.cs.cmu.edu/~dga,https://dblp.org/pers/hd/a/Andersen:David_G%3D,db
50,Christos Faloutsos,24.0,6.1,Carnegie Mellon University,http://www.cs.cmu.edu/~christos,https://dblp.org/pers/hd/f/Faloutsos:Christos,web
50,Christos Faloutsos,24.0,6.1,Carnegie Mellon University,http://www.cs.cmu.edu/~christos,https://dblp.org/pers/hd/f/Faloutsos:Christos,ir
50,Christos Faloutsos,24.0,6.1,Carnegie Mellon University,http://www.cs.cmu.edu/~christos,https://dblp.org/pers/hd/f/Faloutsos:Christos,db
51,Matt Fredrikson,24.0,7.1,Carnegie Mellon University,http://www.cs.cmu.edu/~mfredrik,https://dblp.org/pers/hd/f/Fredrikson:Matt,ml
51,Matt Fredrikson,24.0,7.1,Carnegie Mellon University,http://www.cs.cmu.edu/~mfredrik,https://dblp.org/pers/hd/f/Fredrikson:Matt,security
52,Bryan Parno,24.0,4.3,Carnegie Mellon University,https://www.cylab.cmu.edu/education/faculty/parno.html,https://dblp.org/pers/hd/p/Parno:Bryan,security
53,Srinivasan Seshan,23.0,4.8,Carnegie Mellon University,http://www.cs.cmu.edu/~srini,https://dblp.org/pers/hd/s/Seshan:Srinivasan,networks
54,Yuvraj Agarwal,22.0,4.9,Carnegie Mellon University,http://www.synergylabs.org/yuvraj,https://dblp.org/pers/hd/a/Agarwal:Yuvraj,hci
55,Lujo Bauer,22.0,3.2,Carnegie Mellon University,http://www.ece.cmu.edu/~lbauer,https://dblp.org/pers/hd/b/Bauer:Lujo,hci
55,Lujo Bauer,22.0,3.2,Carnegie Mellon University,http://www.ece.cmu.edu/~lbauer,https://dblp.org/pers/hd/b/Bauer:Lujo,security
56,Katerina Fragkiadaki,22.0,5.5,Carnegie Mellon University,https://www.cs.cmu.edu/~katef,https://dblp.org/pers/hd/f/Fragkiadaki:Katerina,vision
57,Phillip B Gibbons,22.0,3.7,Carnegie Mellon University,http://www.cs.cmu.edu/~gibbons,https://dblp.org/pers/hd/g/Gibbons:Phillip_B%3D,arch
58,Matthew T Mason,22.0,7.1,Carnegie Mellon University,http://www.cs.cmu.edu/~mason,https://dblp.org/pers/hd/m/Mason:Matthew_T%3D,robotics
59,Ryan ODonnell,22.0,8.2,Carnegie Mellon University,http://www.cs.cmu.edu/~odonnell,https://dblp.org/pers/hd/o/O=Donnell:Ryan,theory
60,Norman M Sadeh,22.0,4.2,Carnegie Mellon University,http://www.normsadeh.org,https://dblp.org/pers/hd/s/Sadeh:Norman_M%3D,hci
60,Norman M Sadeh,22.0,4.2,Carnegie Mellon University,http://www.normsadeh.org,https://dblp.org/pers/hd/s/Sadeh:Norman_M%3D,nlp
61,Ameet Talwalkar,22.0,5.2,Carnegie Mellon University,https://www.cs.cmu.edu/~atalwalk,https://dblp.org/pers/hd/t/Talwalkar:Ameet,ml
62,Bogdan Vasilescu,22.0,5.0,Carnegie Mellon University,http://bvasiles.github.io,https://dblp.org/pers/hd/v/Vasilescu:Bogdan,se
63,Ioannis Gkioulekas,21.0,5.5,Carnegie Mellon University,http://ri.cmu.edu/ri-faculty/ioannis-gkioulekas,https://dblp.org/pers/hd/g/Gkioulekas:Ioannis,graphics
63,Ioannis Gkioulekas,21.0,5.5,Carnegie Mellon University,http://ri.cmu.edu/ri-faculty/ioannis-gkioulekas,https://dblp.org/pers/hd/g/Gkioulekas:Ioannis,vision
64,Brandon Lucia,21.0,7.3,Carnegie Mellon University,http://brandonlucia.com,https://dblp.org/pers/hd/l/Lucia:Brandon,arch
65,Maarten Sap,21.0,3.7,Carnegie Mellon University,https://maartensap.com,https://dblp.org/pers/hd/s/Sap:Maarten,nlp
66,Anupam Datta,20.0,4.9,Carnegie Mellon University,http://www.andrew.cmu.edu/user/danupam,https://dblp.org/pers/hd/d/Datta:Anupam,security
66,Anupam Datta,20.0,4.9,Carnegie Mellon University,http://www.andrew.cmu.edu/user/danupam,https://dblp.org/pers/hd/d/Datta:Anupam,ai
67,Matthew OToole,20.0,4.9,Carnegie Mellon University,https://www.ri.cmu.edu/ri-faculty/matthew-otoole,https://dblp.org/pers/hd/o/O=Toole:Matthew,vision
67,Matthew OToole,20.0,4.9,Carnegie Mellon University,https://www.ri.cmu.edu/ri-faculty/matthew-otoole,https://dblp.org/pers/hd/o/O=Toole:Matthew,graphics
68,Carolyn P Ros,20.0,5.6,Carnegie Mellon University,http://www.cs.cmu.edu/~cprose,https://dblp.org/pers/hd/r/Ros=eacute=:Carolyn_P%3D,nlp
69,Jodi Forlizzi,19.0,3.8,Carnegie Mellon University,https://www.hcii.cmu.edu/people/jodi-forlizzi,https://dblp.org/pers/hd/f/Forlizzi:Jodi,hci
70,Gregory R Ganger,19.0,3.2,Carnegie Mellon University,https://www.ece.cmu.edu/~ganger,https://dblp.org/pers/hd/g/Ganger:Gregory_R%3D,os
71,Carl Kingsford,19.0,6.7,Carnegie Mellon University,http://www.cs.cmu.edu/~ckingsf,https://dblp.org/pers/hd/k/Kingsford:Carl,comp
71,Carl Kingsford,19.0,6.7,Carnegie Mellon University,http://www.cs.cmu.edu/~ckingsf,https://dblp.org/pers/hd/k/Kingsford:Carl,bio
72,David Lindlbauer,19.0,4.3,Carnegie Mellon University,https://www.davidlindlbauer.com,https://dblp.org/pers/hd/l/Lindlbauer:David,hci
73,Jan Hoffmann,18.0,5.8,Carnegie Mellon University,http://www.cs.cmu.edu/~janh,https://dblp.org/pers/hd/h/Hoffmann_0002:Jan,pl
74,Nathan Beckmann,18.0,4.6,Carnegie Mellon University,http://www.cs.cmu.edu/~beckmann,https://dblp.org/pers/hd/b/Beckmann:Nathan,arch
75,Keenan Crane,18.0,5.9,Carnegie Mellon University,http://www.cs.cmu.edu/~kmcrane,https://dblp.org/pers/hd/c/Crane:Keenan,graphics
76,Hartmut Geyer,18.0,6.1,Carnegie Mellon University,https://www.cs.cmu.edu/~hgeyer,https://dblp.org/pers/hd/g/Geyer:Hartmut,robotics
77,James McCann,18.0,4.4,Carnegie Mellon University,http://www.cs.cmu.edu/~jmccann,https://dblp.org/pers/hd/m/McCann:James,hci
78,Andrej Risteski,18.0,6.4,Carnegie Mellon University,https://math.mit.edu/~risteski,https://dblp.org/pers/hd/r/Risteski:Andrej,ml
79,Sivaraman Balakrishnan,17.0,3.8,Carnegie Mellon University,http://www.stat.cmu.edu/~siva,https://dblp.org/pers/hd/b/Balakrishnan:Sivaraman,ml
80,David Brumley,17.0,4.4,Carnegie Mellon University,https://users.ece.cmu.edu/~dbrumley,https://dblp.org/pers/hd/b/Brumley:David,security
81,Robert E Kraut,17.0,4.9,Carnegie Mellon University,http://kraut.hciresearch.org,https://dblp.org/pers/hd/k/Kraut:Robert_E%3D,hci
82,Ragunathan Rajkumar,17.0,5.6,Carnegie Mellon University,https://users.ece.cmu.edu/~raj,https://dblp.org/pers/hd/r/Rajkumar:Ragunathan,embedded
83,John Zimmerman,17.0,3.5,Carnegie Mellon University,https://www.cs.cmu.edu/~johnz,https://dblp.org/pers/hd/z/Zimmerman:John,hci
84,Takeo Kanade,16.0,4.5,Carnegie Mellon University,http://www.ri.cmu.edu/people/kanade_takeo.html,https://dblp.org/pers/hd/k/Kanade:Takeo,vision
85,Justine Sherry,16.0,3.2,Carnegie Mellon University,http://www.justinesherry.com,https://dblp.org/pers/hd/s/Sherry:Justine,networks
86,Dimitrios Skarlatos,15.0,2.6,Carnegie Mellon University,https://www.cs.cmu.edu/~dskarlat,https://dblp.org/pers/hd/s/Skarlatos_0002:Dimitrios,arch
87,Jessica Hammer,15.0,3.2,Carnegie Mellon University,https://www.hcii.cmu.edu/people/jessica-hammer,https://dblp.org/pers/hd/h/Hammer:Jessica,hci
88,Virginia Smith,15.0,3.4,Carnegie Mellon University,http://users.ece.cmu.edu/~smithv,https://dblp.org/pers/hd/s/Smith:Virginia,ml
89,James P Callan,14.0,5.3,Carnegie Mellon University,http://www.cs.cmu.edu/~callan,https://dblp.org/pers/hd/c/Callan:James_P%3D,web
89,James P Callan,14.0,5.3,Carnegie Mellon University,http://www.cs.cmu.edu/~callan,https://dblp.org/pers/hd/c/Callan:James_P%3D,ir
90,Daniel Fried,14.0,3.8,Carnegie Mellon University,https://dpfried.github.io,https://dblp.org/pers/hd/f/Fried:Daniel,nlp
91,Christopher G Atkeson,13.0,3.9,Carnegie Mellon University,http://www.cs.cmu.edu/~cga,https://dblp.org/pers/hd/a/Atkeson:Christopher_G%3D,robotics
92,Mor HarcholBalter,13.0,3.7,Carnegie Mellon University,http://www.cs.cmu.edu/~harchol,https://dblp.org/pers/hd/h/Harchol=Balter:Mor,metrics
93,Diana Marculescu,13.0,3.3,Carnegie Mellon University,https://users.ece.cmu.edu/~dianam,https://dblp.org/pers/hd/m/Marculescu:Diana,eda
94,Eric Nyberg,13.0,3.4,Carnegie Mellon University,http://www.cs.cmu.edu/~ehn,https://dblp.org/pers/hd/n/Nyberg:Eric,nlp
95,Andr Platzer,13.0,6.0,Carnegie Mellon University,http://symbolaris.com,https://dblp.org/pers/hd/p/Platzer:Andr%3Deacute%3D,logic
95,Andr Platzer,13.0,6.0,Carnegie Mellon University,http://symbolaris.com,https://dblp.org/pers/hd/p/Platzer:Andr%3Deacute%3D,embedded
96,Nancy S Pollard,13.0,3.0,Carnegie Mellon University,http://www.cs.cmu.edu/~nsp,https://dblp.org/pers/hd/p/Pollard:Nancy_S%3D,robotics
97,Nihar B Shah,13.0,4.3,Carnegie Mellon University,http://www.cs.cmu.edu/~nihars,https://dblp.org/pers/hd/s/Shah:Nihar_B%3D,ai
97,Nihar B Shah,13.0,4.3,Carnegie Mellon University,http://www.cs.cmu.edu/~nihars,https://dblp.org/pers/hd/s/Shah:Nihar_B%3D,ml
98,Laura A Dabbish,12.0,3.0,Carnegie Mellon University,http://www.lauradabbish.com,https://dblp.org/pers/hd/d/Dabbish:Laura_A%3D,hci
99,Alexandra Ion,12.0,2.6,Carnegie Mellon University,http://www.alexandraion.com,https://dblp.org/pers/hd/i/Ion:Alexandra,hci
100,Guy E Blelloch,11.0,3.2,Carnegie Mellon University,http://www.cs.cmu.edu/~guyb,https://dblp.org/pers/hd/b/Blelloch:Guy_E%3D,pl
101,Claire Le Goues,11.0,3.2,Carnegie Mellon University,https://clairelegoues.com,https://dblp.org/pers/hd/g/Goues:Claire_Le,se
102,Zhihao Jia,11.0,1.9,Carnegie Mellon University,https://www.cs.cmu.edu/~zhihaoj2,https://dblp.org/pers/hd/j/Jia:Zhihao,os
103,Alonzo Kelly,11.0,4.0,Carnegie Mellon University,http://www.frc.ri.cmu.edu/users/alonzo,https://dblp.org/pers/hd/k/Kelly:Alonzo,robotics
104,Todd C Mowry,11.0,1.8,Carnegie Mellon University,http://www.cs.cmu.edu/~tcm,https://dblp.org/pers/hd/m/Mowry:Todd_C%3D,arch
105,YongLae Park,11.0,2.5,Carnegie Mellon University,http://www.cs.cmu.edu/~ylpark,https://dblp.org/pers/hd/p/Park:Yong%3DLae,robotics
106,Bhiksha Raj,11.0,2.9,Carnegie Mellon University,http://www.cs.cmu.edu/~bhiksha,https://dblp.org/pers/hd/r/Raj:Bhiksha,vision
106,Bhiksha Raj,11.0,2.9,Carnegie Mellon University,http://www.cs.cmu.edu/~bhiksha,https://dblp.org/pers/hd/r/Raj:Bhiksha,ml
107,K V Rashmi,11.0,2.9,Carnegie Mellon University,http://www.cs.cmu.edu/~rvinayak,https://dblp.org/pers/hd/r/Rashmi:K%3D_V%3D,os
107,K V Rashmi,11.0,2.9,Carnegie Mellon University,http://www.cs.cmu.edu/~rvinayak,https://dblp.org/pers/hd/r/Rashmi:K%3D_V%3D,networks
108,William Whittaker,11.0,2.8,Carnegie Mellon University,http://www.ri.cmu.edu/person.html?person_id=339,https://dblp.org/pers/hd/w/Whittaker:William,robotics
109,Jian Ma,10.0,2.6,Carnegie Mellon University,http://www.cs.cmu.edu/~jianma,https://dblp.org/pers/hd/m/Ma_0004:Jian,comp
109,Jian Ma,10.0,2.6,Carnegie Mellon University,http://www.cs.cmu.edu/~jianma,https://dblp.org/pers/hd/m/Ma_0004:Jian,bio
109,Jian Ma,10.0,2.6,Carnegie Mellon University,http://www.cs.cmu.edu/~jianma,https://dblp.org/pers/hd/m/Ma_0004:Jian,ml
110,Umut A Acar,10.0,2.4,Carnegie Mellon University,http://www.umut-acar.org,https://dblp.org/pers/hd/a/Acar:Umut_A%3D,pl
111,Geoff Kaufman,10.0,2.3,Carnegie Mellon University,https://www.hcii.cmu.edu/people/geoff-kaufman,https://dblp.org/pers/hd/k/Kaufman:Geoff,hci
112,Robert Harper,9.0,3.8,Carnegie Mellon University,http://www.cs.cmu.edu/~rwh,https://dblp.org/pers/hd/h/Harper_0001:Robert,pl
113,Alessandro Acquisti,9.0,1.5,Carnegie Mellon University,http://www.heinz.cmu.edu/~acquisti,https://dblp.org/pers/hd/a/Acquisti:Alessandro,hci
114,Henny Admoni,9.0,2.3,Carnegie Mellon University,https://www.ri.cmu.edu/ri-faculty/henny-admoni,https://dblp.org/pers/hd/a/Admoni:Henny,robotics
115,James D Herbsleb,9.0,3.4,Carnegie Mellon University,http://herbsleb.org,https://dblp.org/pers/hd/h/Herbsleb:James_D%3D,se
116,Sara B Kiesler,9.0,2.3,Carnegie Mellon University,https://www.cs.cmu.edu/~kiesler,https://dblp.org/pers/hd/k/Kiesler:Sara_B%3D,hci
117,Kenneth R Koedinger,9.0,2.4,Carnegie Mellon University,http://pact.cs.cmu.edu/koedinger.html,https://dblp.org/pers/hd/k/Koedinger:Kenneth_R%3D,hci
118,Gary L Miller,9.0,2.4,Carnegie Mellon University,https://www.cs.cmu.edu/~glmiller,https://dblp.org/pers/hd/m/Miller:Gary_L%3D,theory
119,Emma Strubell,9.0,2.3,Carnegie Mellon University,https://people.cs.umass.edu/~strubell,https://dblp.org/pers/hd/s/Strubell:Emma,nlp
120,Tianqi Chen,8.0,1.7,Carnegie Mellon University,https://tqchen.com,https://dblp.org/pers/hd/c/Chen:Tianqi,ml
121,Vincent J Hellendoorn,8.0,2.1,Carnegie Mellon University,https://vhellendoorn.github.io,https://dblp.org/pers/hd/h/Hellendoorn:Vincent_J%3D,se
121,Vincent J Hellendoorn,8.0,2.1,Carnegie Mellon University,https://vhellendoorn.github.io,https://dblp.org/pers/hd/h/Hellendoorn:Vincent_J%3D,ml
122,Eunsuk Kang,8.0,2.0,Carnegie Mellon University,https://eskang.github.io,https://dblp.org/pers/hd/k/Kang:Eunsuk,se
122,Eunsuk Kang,8.0,2.0,Carnegie Mellon University,https://eskang.github.io,https://dblp.org/pers/hd/k/Kang:Eunsuk,eda
123,Wenting Zheng,8.0,1.6,Carnegie Mellon University,https://wzheng.github.io,https://dblp.org/pers/hd/z/Zheng:Wenting,security
123,Wenting Zheng,8.0,1.6,Carnegie Mellon University,https://wzheng.github.io,https://dblp.org/pers/hd/z/Zheng:Wenting,networks
123,Wenting Zheng,8.0,1.6,Carnegie Mellon University,https://wzheng.github.io,https://dblp.org/pers/hd/z/Zheng:Wenting,os
124,Jonathan Aldrich,7.0,1.4,Carnegie Mellon University,http://www.cs.cmu.edu/~./aldrich,https://dblp.org/pers/hd/a/Aldrich:Jonathan,pl
124,Jonathan Aldrich,7.0,1.4,Carnegie Mellon University,http://www.cs.cmu.edu/~./aldrich,https://dblp.org/pers/hd/a/Aldrich:Jonathan,se
125,Kathleen M Carley,7.0,3.0,Carnegie Mellon University,http://www.casos.cs.cmu.edu/bios/carley/carley.html,https://dblp.org/pers/hd/c/Carley:Kathleen_M%3D,nlp
126,Patrick Carrington,7.0,1.3,Carnegie Mellon University,http://www.patrickcarrington.com,https://dblp.org/pers/hd/c/Carrington:Patrick,hci
127,Virgil D Gligor,7.0,2.3,Carnegie Mellon University,https://users.ece.cmu.edu/~virgil,https://dblp.org/pers/hd/g/Gligor:Virgil_D%3D,security
128,Amy Ogan,7.0,1.1,Carnegie Mellon University,https://www.hcii.cmu.edu/people/amy-ogan,https://dblp.org/pers/hd/o/Ogan:Amy,hci
129,Peter Steenkiste,7.0,1.3,Carnegie Mellon University,http://www.cs.cmu.edu/~prs,https://dblp.org/pers/hd/s/Steenkiste:Peter,networks
130,George Amvrosiadis,6.0,1.3,Carnegie Mellon University,http://www.ece.cmu.edu/~gamvrosi,https://dblp.org/pers/hd/a/Amvrosiadis:George,hpc
130,George Amvrosiadis,6.0,1.3,Carnegie Mellon University,http://www.ece.cmu.edu/~gamvrosi,https://dblp.org/pers/hd/a/Amvrosiadis:George,os
131,Ziv BarJoseph,6.0,2.0,Carnegie Mellon University,http://www.cs.cmu.edu/~zivbj,https://dblp.org/pers/hd/b/Bar=Joseph:Ziv,comp
131,Ziv BarJoseph,6.0,2.0,Carnegie Mellon University,http://www.cs.cmu.edu/~zivbj,https://dblp.org/pers/hd/b/Bar=Joseph:Ziv,bio
132,James C Hoe,6.0,1.3,Carnegie Mellon University,http://users.ece.cmu.edu/~jhoe,https://dblp.org/pers/hd/h/Hoe:James_C%3D,arch
133,Levent Burak Kara,6.0,2.0,Carnegie Mellon University,http://vdel.me.cmu.edu,https://dblp.org/pers/hd/k/Kara:Levent_Burak,graphics
133,Levent Burak Kara,6.0,2.0,Carnegie Mellon University,http://vdel.me.cmu.edu,https://dblp.org/pers/hd/k/Kara:Levent_Burak,hci
134,Kemal Oflazer,6.0,1.6,Carnegie Mellon University,https://www.andrew.cmu.edu/user/ko,https://dblp.org/pers/hd/o/Oflazer:Kemal,nlp
135,Bruno Sinopoli,6.0,1.2,Carnegie Mellon University,https://users.ece.cmu.edu/~brunos,https://dblp.org/pers/hd/s/Sinopoli:Bruno,embedded
135,Bruno Sinopoli,6.0,1.2,Carnegie Mellon University,https://users.ece.cmu.edu/~brunos,https://dblp.org/pers/hd/s/Sinopoli:Bruno,networks
136,Karl Crary,5.0,4.0,Carnegie Mellon University,https://www.cs.cmu.edu/~crary,https://dblp.org/pers/hd/c/Crary:Karl,pl
137,Changliu Liu,5.0,1.6,Carnegie Mellon University,https://www.ri.cmu.edu/ri-faculty/changliu-liu,https://dblp.org/pers/hd/l/Liu:Changliu,robotics
138,Radu Marculescu,5.0,1.1,Carnegie Mellon University,https://www.ece.cmu.edu/directory/department/faculty/M/Radu_Marculescu_109.html,https://dblp.org/pers/hd/m/Marculescu:Radu,eda
139,Illah R Nourbakhsh,5.0,1.5,Carnegie Mellon University,http://www.cs.cmu.edu/~illah,https://dblp.org/pers/hd/n/Nourbakhsh:Illah_R%3D,ai
140,Rohan Padhye,5.0,1.5,Carnegie Mellon University,https://rohan.padhye.org,https://dblp.org/pers/hd/p/Padhye:Rohan,se
141,Ronald Rosenfeld,5.0,0.9,Carnegie Mellon University,http://www.cs.cmu.edu/~roni,https://dblp.org/pers/hd/r/Rosenfeld:Ronald,hci
